link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/wysokie-klimatyczne-mieszkanie-blisko-metra-ID4xIdp,584102756,1690000.0,"ul. Kazimierza Sotta ""Sokoła"", Natolin, Ursynów, Warszawa, mazowieckie",113m²,3,miejskie,3/3,1 300 zł,do zamieszkania,wtórny,pełna własność,prywatny,1990,nie,blok,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/2-p-mieszkanie-z-ogrodkiem-w-miasteczku-wilanow-ostoja-bezposrednio-ID4xNgO,668102755,960000.0,"ul. Prymasa Augusta Hlonda, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",53.47m²,2,miejskie,parter/4,brak informacji,do zamieszkania,wtórny,brak informacji,prywatny,,tak,apartamentowiec,drewniane,monitoring / ochrona,ogródek | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/ostoja-wilanow-nowe-mieszkanie-2-pokoje-wilanow-sarmacka-garaz-ID4xEKl,209102756,919000.0,"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",47.5m²,2,miejskie,1/4,700 zł,do zamieszkania,wtórny,pełna własność,prywatny,2017,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/cesja-w-royal-residence-w-etapie-7-odebrane-ID4xL5l,901102755,1620000.0,"ul. Adama Branickiego, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",80.11m²,3,miejskie,1/5,1 100 zł,do wykończenia,wtórny,pełna własność,biuro nieruchomości,2025,tak,,drewniane,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/slow-wilanow-ID4ulJ6,447102756,,,72 - 100 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/2-pok-46-6-m-garaz-gotowe-ID4v3tv,987102756,840000.0,"ul. Jerzego Holzera, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",46.6m²,2,miejskie,3/4,brak informacji,do wykończenia,wtórny,brak informacji,biuro nieruchomości,2025,tak,apartamentowiec,drewniane,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/1-pok-25-m2-garaz-wysoki-stand-royal-residence-ID4x22p,332102756,540000.0,"ul. Sarmacka 27, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",25m²,1,miejskie,2/4,573 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2023,tak,apartamentowiec,drewniane,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/2-pokoje-wsrod-zieleni-i-2-miejsca-postojowe-ID4vYVx,773102756,890000.0,"ul. Bruzdowa, Zawady, Wilanów, Warszawa, mazowieckie",46.53m²,2,gazowe,1/2,626 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2016,tak,blok,plastikowe,,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/3-pokojowe-jasne-mieszkanie-z-klimatyzacja-i-narozna-loggia-ID4xDmu,570102756,1699000.0,"ul. Prymasa Augusta Hlonda, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",76m²,3,miejskie,2/4,1 250 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2013,tak,blok,drewniane,monitoring / ochrona,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/enso-wilanow-ID4ub4y,955102757,,,41 - 121 m²,,,,,,,,deweloper,,,,,brak informacji,
