link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/kawalerka-we-wlochach-kolo-castoramy-do-sprzedania-ID4wFrW,773110135,485000.0,"Stare Włochy, Włochy, Warszawa, mazowieckie",34m²,1,miejskie,parter/3,515 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2001,tak,apartamentowiec,plastikowe,,taras | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-82m-taras-140m-wysokosc-3-15m-w-samym-parku-ID4xIxG,490110134,1875000.0,"ul. Łuki Wielkie, Nowe Włochy, Włochy, Warszawa, mazowieckie",82m²,4,miejskie,parter/3,1 350 zł,do zamieszkania,wtórny,pełna własność,prywatny,2010,tak,apartamentowiec,drewniane,monitoring / ochronateren zamknięty,balkon | ogródek | taras | garaż/miejsce parkingowe | pom. użytkowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/2-pok-2022-r-balkon-parking-os-moja-ochota-ID4xCRg,720110134,679000.0,"ul. Szybka, Raków, Włochy, Warszawa, mazowieckie",35.74m²,2,miejskie,4/5,600 zł,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2022,tak,blok,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/ochota-ul-komitetu-obrony-robotnikow-4-pok-2-piwnice-strych-ID4x9BJ,835110135,850000.0,"ul. Komitetu Obrony Robotników, Okęcie, Włochy, Warszawa, mazowieckie",61.5m²,4,miejskie,2/4,1 000 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1957,nie,blok,plastikowe,,balkon | piwnica
https://www.otodom.pl/pl/oferta/rve-ID4uhUH,193110135,,,58 - 66 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/4-pokoje-taras-cena-tylko-11-500-m2-ID4xuqH,940110135,1144250.0,"ul. Słowicza, Okęcie, Włochy, Warszawa, mazowieckie",99.5m²,4,miejskie,1/3,brak informacji,do wykończenia,wtórny,pełna własność,prywatny,1960,nie,,plastikowe,,taras | piwnica
https://www.otodom.pl/pl/oferta/gotowa-kawalerka-z-silownia-i-sauna-wiktoryn-6a-ID4xHW5,469110135,364000.0,"Stare Włochy, Włochy, Warszawa, mazowieckie",17.3m²,1,miejskie,4,470 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,tak,apartamentowiec,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/trzcinowa-vita-ID4vM8E,789110136,,,26 - 75 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/2-pokojowe-park-kotanskiego-parking-zielona-okolica-lotnisko-ID4tVfu,229110135,600000.0,"ul. 1 Sierpnia, Okęcie, Włochy, Warszawa, mazowieckie",38.1m²,2,miejskie,10/10,650 zł,do zamieszkania,wtórny,pełna własność,prywatny,1978,tak,blok,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-nova-ochota-10-minut-od-centrum-ID4xoS0,304110136,1060000.0,"ul. Łopuszańska, Raków, Włochy, Warszawa, mazowieckie",54.47m²,3,miejskie,parter/5,630 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,tak,blok,plastikowe,monitoring / ochronateren zamknięty,balkon | ogródek | garaż/miejsce parkingowe | pom. użytkowe
