link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/bezposrednio-zabytkowa-zrewitalizowana-kamienica-w-centrum-ID4xFnX,115164651,1623000.0,"ul. Waliców, Mirów, Wola, Warszawa, mazowieckie",70.6m²,3,miejskie,4,1 100 zł,do zamieszkania,wtórny,pełna własność,prywatny,1914,nie,kamienica,plastikowe,teren zamknięty,
https://www.otodom.pl/pl/oferta/rezerwacja-kawalerka-inwestycyjna-w-zielonej-czesci-woli-ID4xMeU,661164651,529000.0,"ul. Obozowa, Koło, Wola, Warszawa, mazowieckie",32m²,1,miejskie,2/2,500 zł,do zamieszkania,wtórny,pełna własność,prywatny,1936,nie,kamienica,plastikowe,,
https://www.otodom.pl/pl/oferta/jasne-ustawne-i-ciche-mieszkanie-swiezo-po-remoncie-ID4xHZt,190164651,790000.0,"ul. Smocza, Nowolipki, Wola, Warszawa, mazowieckie",38.05m²,2,miejskie,2/4,750 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1964,nie,blok,plastikowe,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/nowoczesny-apartament-3pok-z-tarasem-ID4xcGr,441164651,1720000.0,"ul. Siedmiogrodzka, Czyste, Wola, Warszawa, mazowieckie",75.87m²,3,miejskie,5/7,1 087 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2014,tak,apartamentowiec,,monitoring / ochrona,taras | garaż/miejsce parkingowe | piwnica | pom. użytkowe
https://www.otodom.pl/pl/oferta/4-pokoje-gotowe-do-wprowadzenia-ID4xAdk,104164651,1455000.0,"ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie",75.14m²,4,miejskie,1,1 100 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2009,nie,blok,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bezposrednio-ID4ujWl,850164652,,"ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie",32.11m²,1,brak informacji,2/8,brak informacji,do wykończenia,pierwotny,pełna własność,deweloper,2025,tak,,,teren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/towarowa-towers-ID4ub4o,436164652,,,29 - 147 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/towarowa-square-ID4ub4k,740164652,,,33 - 92 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/splot-wola-ID4uon1,612164652,,,37 - 127 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/nu2-warszawa-wola-ID4um08,377164652,,,29 - 95 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/3-osobne-pokoje-w-kamienicy-wola-elektoralna-ID4xD9q,740164652,1198000.0,"ul. Elektoralna, Mirów, Wola, Warszawa, mazowieckie",63.5m²,3,miejskie,2/5,1 450 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1952,tak,kamienica,plastikowe,,
https://www.otodom.pl/pl/oferta/wykonczone-mieszkanie-przy-ul-kolejowej-ID4v4Av,463164652,740000.0,"ul. Kolejowa, Czyste, Wola, Warszawa, mazowieckie",29.78m²,1,miejskie,1/5,640 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2024,tak,blok,plastikowe,,balkon | garaż/miejsce parkingowe | piwnica | pom. użytkowe
https://www.otodom.pl/pl/oferta/po-remoncie-z-balkonem-i-pieknym-widokiem-kolo-metra-i-parku-ID4xI9V,629164652,749000.0,"ul. Monte Cassino, Ulrychów, Wola, Warszawa, mazowieckie",37m²,2,miejskie,parter/4,560 zł,do zamieszkania,wtórny,brak informacji,prywatny,1962,nie,blok,plastikowe,,balkon | piwnica
https://www.otodom.pl/pl/oferta/ciche-3-pokoje-blisko-centrum-z-10-metrowym-balkonem-ID4xyWD,395164652,1097608.0,"Odolany, Wola, Warszawa, mazowieckie",56.4m²,3,miejskie,2/16,brak informacji,do wykończenia,pierwotny,brak informacji,biuro nieruchomości,2027,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | ogródek | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/9-pietro-z-9metrowa-loggia-i-niesamowitym-widokiem-na-centrum-miasta-ID4xzNp,905164652,1647250.0,"Odolany, Wola, Warszawa, mazowieckie",77.26m²,3,miejskie,9/16,brak informacji,do wykończenia,pierwotny,pełna własność,biuro nieruchomości,2027,tak,apartamentowiec,plastikowe,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/rndo-onz-3-pokoje-48m2-super-lokalizacja-ID4xdcO,392164653,769000.0,"Mirów, Wola, Warszawa, mazowieckie",48m²,3,miejskie,2/15,1 000 zł,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1969,tak,,drewniane,,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/doskonala-lokalizacja-10-min-do-metra-m2-ID4xq9S,364164653,669000.0,"ul. Marcina Kasprzaka, Odolany, Wola, Warszawa, mazowieckie",30.84m²,1,miejskie,1/15,560 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2015,tak,apartamentowiec,,teren zamkniętymonitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/2-pok-jana-kazimierza-duza-loggia-bliska-wola-ID4xdW1,926164653,674999.0,"ul. Jana Kazimierza, Odolany, Wola, Warszawa, mazowieckie",33.23m²,2,brak informacji,3/7,540 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2021,tak,,,,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/3-pokoje-blisko-metra-jasne-zielona-okolica-ID4wE5G,991164653,749800.0,"ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie",48.8m²,3,brak informacji,3/3,700 zł,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1962,nie,,,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/blisko-metra-po-remoncie-gotowe-do-wejscia-ID4wM4p,726164653,639000.0,"ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie",37.3m²,2,miejskie,1/4,500 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1964,nie,blok,,,balkon | piwnica
https://www.otodom.pl/pl/oferta/dwupokojowe-nowoczesne-mieszkanie-na-woli-s-ID4x60T,224164653,1250000.0,"ul. Marcina Kasprzaka, Czyste, Wola, Warszawa, mazowieckie",51m²,2,miejskie,6/21,990 zł,brak informacji,wtórny,brak informacji,biuro nieruchomości,,tak,apartamentowiec,,,balkon | garaż/miejsce parkingowe | piwnica | pom. użytkowe
https://www.otodom.pl/pl/oferta/nowe-45-m-na-woli-2-pokoje-z-loggia-ID4xiF5,456164653,1003500.0,"ul. Kolejowa, Czyste, Wola, Warszawa, mazowieckie",44.6m²,2,brak informacji,1/8,0,do wykończenia,wtórny,pełna własność,biuro nieruchomości,2024,nie,,,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-blisko-metra-po-remoncie-ID4vCad,633164653,723000.0,"ul. Redutowa 41, Ulrychów, Wola, Warszawa, mazowieckie",38.06m²,2,miejskie,2/3,brak informacji,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1962,nie,blok,,,balkon | piwnica
https://www.otodom.pl/pl/oferta/apartament-w-swietnej-lokalizacji-blisko-centrum-ID4xKYi,788164653,1650000.0,"ul. Okopowa, Powązki, Wola, Warszawa, mazowieckie",83m²,3,miejskie,4/6,1 580 zł,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2000,tak,apartamentowiec,,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/zelazna-54-ID4uomP,607164653,,,28 - 108 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/nowoczesne-dwupokojowe-mieszkanie-blisko-centrum-ID4vzLd,577164654,920000.0,"ul. Kolejowa, Czyste, Wola, Warszawa, mazowieckie",37m²,2,miejskie,3/5,550 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,2023,tak,apartamentowiec,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/wysokie-mieszkanie-w-przedwojennej-kamiemicy-ID4vzHM,852164654,1370000.0,"ul. Żelazna, Mirów, Wola, Warszawa, mazowieckie",68.66m²,2,miejskie,6/6,980 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,1929,tak,kamienica,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/4-pokojowe-rozkladowe-mieszkanie-blisko-centrum-ID4vztg,395164654,1896000.0,"ul. Kolejowa, Czyste, Wola, Warszawa, mazowieckie",92.14m²,4,miejskie,1/8,brak informacji,brak informacji,wtórny,pełna własność,biuro nieruchomości,2026,tak,apartamentowiec,,,
https://www.otodom.pl/pl/oferta/metro-3-min-dwustronne-loggia-miejsce-postojowe-ID4xe1v,857164654,999900.0,"ul. Górczewska, Koło, Wola, Warszawa, mazowieckie",55.87m²,3,miejskie,1/5,895 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2009,tak,apartamentowiec,drewniane,teren zamkniętymonitoring / ochrona,
https://www.otodom.pl/pl/oferta/swietne-mieszkanie-w-centrum-warszawy-ID4xgV4,127164654,798000.0,"ul. Złota, Mirów, Wola, Warszawa, mazowieckie",41.24m²,2,brak informacji,2/5,0,brak informacji,wtórny,pełna własność,biuro nieruchomości,1912,nie,,,,
https://www.otodom.pl/pl/oferta/okazja-ale-zakup-tylko-za-gotowke-ID4xvvz,837164654,498000.0,"Koło, Wola, Warszawa, mazowieckie",42m²,2,miejskie,8/10,brak informacji,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1973,tak,blok,plastikowe,,balkon | piwnica
https://www.otodom.pl/pl/oferta/chmielna-duo-zapytaj-o-cene-promocyjna-ID4v7jj,319164655,,,31 - 89 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/50m-przy-metrze-doskonala-komunikacja-2p-ID4ucPT,242164654,849000.0,"Ulrychów, Wola, Warszawa, mazowieckie",49.96m²,2,miejskie,4/5,600 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2009,tak,blok,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-74-m2-rondo-daszynskiego-cesja-umowy-dewlp-ID4x8dr,406164654,1957030.0,"ul. Przyokopowa, Czyste, Wola, Warszawa, mazowieckie",74.5m²,3,brak informacji,8/8,brak informacji,do wykończenia,pierwotny,brak informacji,prywatny,2026,tak,apartamentowiec,drewniane,,balkon | garaż/miejsce parkingowe | pom. użytkowe
https://www.otodom.pl/pl/oferta/gotowe-do-wprowadzenia-z-widokiem-na-warszawe-ID4xClo,927164654,799000.0,"ul. Chłodna, Mirów, Wola, Warszawa, mazowieckie",38.8m²,2,miejskie,> 10/15,730 zł,do zamieszkania,wtórny,brak informacji,prywatny,1969,tak,blok,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/chronos-ID4uhGA,194164655,,,31 - 142 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/sprzedam-3-pokojowe-mieszkanie-53-m-wola-po-remoncie-bezposrednio-ID4rMBb,998164654,895000.0,"al. Aleja Prymasa Tysiąclecia, Odolany, Wola, Warszawa, mazowieckie",54m²,3,miejskie,4/4,899 zł,do zamieszkania,wtórny,pełna własność,prywatny,1970,nie,blok,plastikowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe | piwnica | oddzielna kuchnia | pom. użytkowe
https://www.otodom.pl/pl/oferta/rezerwacja-dwupokojowe-mieszkanie-blisko-centrum-i-metra-ID4xwRl,834164654,586000.0,"ul. Okopowa, Nowolipki, Wola, Warszawa, mazowieckie",33m²,2,miejskie,6/11,700 zł,do zamieszkania,wtórny,brak informacji,prywatny,,tak,blok,plastikowe,monitoring / ochrona,piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/piekne-52-metry-przy-metrze-mlynow-ID4xikZ,709164655,948000.0,"ul. Rabsztyńska, Młynów, Wola, Warszawa, mazowieckie",51.93m²,2,brak informacji,1/2,700 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1956,nie,blok,,,
https://www.otodom.pl/pl/oferta/kawalerka-gotowa-do-wejscia-nowolipki-ul-dzielna-ID4x4VA,208164655,725000.0,"ul. Dzielna, Mirów, Wola, Warszawa, mazowieckie",34.65m²,1,brak informacji,2/4,561 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,1954,nie,,,,
https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-z-widokiem-na-centrum-warszawy-ID4xfVh,988164655,1360000.0,"ul. Juliusza Ordona, Odolany, Wola, Warszawa, mazowieckie",56.6m²,3,miejskie,9/11,600 zł,do zamieszkania,wtórny,pełna własność,prywatny,2015,tak,blok,drewniane,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/apartament-bliska-wola-ID4wDJH,725164655,955000.0,"Ulrychów, Wola, Warszawa, mazowieckie",51.2m²,2,miejskie,2/3,600 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1949,nie,kamienica,,,
https://www.otodom.pl/pl/oferta/bliska-wola-dwa-pokoje-ID4xwR4,870164655,849000.0,"ul. Eustachego Tyszkiewicza, Młynów, Wola, Warszawa, mazowieckie",46m²,2,miejskie,4/7,800 zł,brak informacji,wtórny,pełna własność,biuro nieruchomości,2010,tak,blok,plastikowe,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-73m2-taras-bez-posrednikow-ID4v5Ak,353164655,1987765.0,"ul. Stanisława Smolki, Ulrychów, Wola, Warszawa, mazowieckie",73.62m²,3,brak informacji,7/7,brak informacji,do wykończenia,pierwotny,pełna własność,deweloper,2023,tak,,,teren zamknięty,taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/wyjatkowy-2-poziomowy-loft-na-woli-ID4wj2k,799164655,1195000.0,"ul. Cypriana Kamila Norwida, Wesoła, Ulrychów, Wola, Warszawa, mazowieckie",55.41m²,2,miejskie,2/4,710 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2022,tak,apartamentowiec,,monitoring / ochrona,garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/hpr/pl/oferta/nowoczesny-apartament-3pok-z-tarasem-ID4xcGr,536164655,1720000.0,"ul. Siedmiogrodzka, Czyste, Wola, Warszawa, mazowieckie",75.87m²,3,miejskie,5/7,1 087 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2014,tak,apartamentowiec,,monitoring / ochrona,taras | garaż/miejsce parkingowe | piwnica | pom. użytkowe
https://www.otodom.pl/pl/oferta/wysoki-standard-bliska-wola-wysoki-sufit-3m-2-miejsca-postojowe-ID4xLsh,223164657,999000.0,"ul. Stańczyka, Odolany, Wola, Warszawa, mazowieckie",48.84m²,3,miejskie,7/8,1 065 zł,do zamieszkania,wtórny,pełna własność,prywatny,2019,tak,blok,plastikowe,,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/nowoczesny-apartament-z-balkonem-garazem-i-komorka-lokatorska-ID4xCvK,391164657,1450000.0,"ul. Prosta, Czyste, Wola, Warszawa, mazowieckie",35.86m²,1,inne,> 10/29,0 zł,do zamieszkania,wtórny,pełna własność,prywatny,2024,tak,apartamentowiec,aluminiowe,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/warszawa-chlodna-3-pokoje-55-95-m2-mieszkanie-z-widokiem-ID4vrAa,740164657,1199000.0,"ul. Chłodna, Mirów, Wola, Warszawa, mazowieckie",55.95m²,3,miejskie,8/11,brak informacji,do remontu,wtórny,pełna własność,prywatny,1974,nie,blok,plastikowe,,balkon | piwnica
https://www.otodom.pl/pl/oferta/nu2-warszawa-wola-ID4um08,434164657,,,29 - 95 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/odebrane-cesja-2-pokoje-przy-browarach-w-ID4v3nY,197164657,760000.0,"ul. Waliców, Mirów, Wola, Warszawa, mazowieckie",30.4m²,2,miejskie,6/6,420 zł,do wykończenia,wtórny,pełna własność,biuro nieruchomości,1914,tak,kamienica,,,
https://www.otodom.pl/pl/oferta/bezposrednio-metro-2-pokoje-balkon-mlynow-wola-ID4xC9Y,563164657,729000.0,"Młynów, Wola, Warszawa, mazowieckie",37.6m²,2,miejskie,3/3,465 zł,do zamieszkania,wtórny,pełna własność,prywatny,1955,nie,blok,plastikowe,,balkon | piwnica
