link,id,price,location,area,rooms,heating,floor,maintenance_fee,condition,market,ownership,advertiser_type,year_built,elevator,building_type,windows,security,additional_features
https://www.otodom.pl/pl/oferta/38m-na-starym-zoliborzu-do-remontu-w-swietnej-lokalizacji-ID4xKj0,574172236,600000.0,"ul. Potocka, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",38m²,2,miejskie,5/10,brak informacji,do remontu,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1968,tak,blok,,teren zamknięty,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/mieszkanie-1-pokoj-ID4xIAA,200172236,490000.0,"ul. Władysława Broniewskiego, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",26m²,1,miejskie,2/10,brak informacji,do zamieszkania,wtórny,pełna własność,prywatny,1965,tak,blok,plastikowe,monitoring / ochrona,balkon | piwnica
https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-na-starym-zoliborzu-250m-od-metra-plac-wilsona-ID4xIvV,694172236,1370000.0,"ul. Adama Mickiewicza, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",54m²,3,miejskie,2/3,750 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,prywatny,1960,nie,kamienica,plastikowe,teren zamknięty,balkon | ogródek | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/apartament-na-zoliborzu-74-5-m2-loggia-32m2-ID4wDuG,144172236,1780773.0,"ul. Ludwika Rydygiera, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",74.5m²,3,miejskie,2/7,1 169 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2010,tak,apartamentowiec,,monitoring / ochrona,garaż/miejsce parkingowe | piwnica | pom. użytkowe
https://www.otodom.pl/pl/oferta/zoliborz-parter-do-remontu-ID4xOlh,445172236,490000.0,"ul. Władysława Broniewskiego, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",27m²,1,miejskie,parter/10,500 zł,do remontu,wtórny,pełna własność,biuro nieruchomości,1969,tak,blok,,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/sady-zoliborz-ID4uol9,347172237,,,33 - 161 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/zoliborz-oficerski-ul-smiala-ID4xHVT,905172236,1390000.0,"ul. Śmiała, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",54m²,2,miejskie,3,750 zł,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,1953,nie,kamienica,plastikowe,,piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/sady-zoliborskie-53-m2-do-wprowadzenia-ID4vxvg,997172236,840000.0,"ul. Elbląska, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",53m²,3,miejskie,4/4,917 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1970,nie,blok,,,balkon | piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/wyjatkowy-czteropokojowy-apartament-na-zoliborzu-ID4xKgs,907172236,3700000.0,"Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",130m²,4,miejskie,> 10/14,1 500 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2014,tak,blok,drewniane,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/3-pokoje-po-remoncie-zielona-okolica-ID4xD9M,936172237,748000.0,"Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",41m²,3,miejskie,parter/11,680 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,,tak,blok,plastikowe,,
https://www.otodom.pl/pl/oferta/dwa-pokoje-w-budynku-z-1930-na-starym-zoliborzu-ID4xLI3,813172237,1100000.0,"Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",54.23m²,2,miejskie,4,brak informacji,do remontu,wtórny,pełna własność,biuro nieruchomości,1931,tak,kamienica,plastikowe,,piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/2-pokojeduzy-balkon-ID4xNPl,899172236,920000.0,"ul. Rafała Krajewskiego, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",49m²,2,miejskie,1/3,870 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,1960,nie,blok,plastikowe,monitoring / ochrona,
https://www.otodom.pl/pl/oferta/3-sypialnie-3-lazienki-tarasy-sufit-3-2m-ID4xIIs,939172237,3700000.0,"ul. Ludwika Rydygiera, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",130m²,4,brak informacji,> 10/14,1 400 zł,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2012,tak,apartamentowiec,,teren zamkniętymonitoring / ochrona,taras | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/elegancka-kawalerka-38m2-taras-6m2-garaz-garderoba-ID4xO8w,578172237,785000.0,"ul. Sybilli, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",38m²,1,miejskie,> 10/15,914 zł,do zamieszkania,wtórny,pełna własność,prywatny,2005,tak,apartamentowiec,plastikowe,monitoring / ochrona,taras | garaż/miejsce parkingowe | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/zoliborz-mozliwe-3-pokoje-miejsce-parkingowe-ID4xJhG,682172237,729000.0,"ul. Adama Mickiewicza, Marymont-Potok, Żoliborz, Warszawa, mazowieckie",47m²,2,miejskie,> 10/19,860 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1985,tak,blok,plastikowe,monitoring / ochrona,piwnica | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/trzy-pokoje-zoliborz-duzy-taras-metro-ID4x9gJ,855172237,1380000.0,"ul. Włościańska, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",65.02m²,3,miejskie,4/6,1 000 zł,do zamieszkania,wtórny,brak informacji,biuro nieruchomości,2018,tak,apartamentowiec,plastikowe,monitoring / ochrona,taras | oddzielna kuchnia
https://www.otodom.pl/pl/oferta/sady-zoliborz-ii-ID4vpJn,206172237,,,38 - 127 m²,,,,,,,,deweloper,,,,,brak informacji,
https://www.otodom.pl/pl/oferta/2-mieszkania-na-wynajem-zoliborz-jasnodworska-ID4xGGl,641172237,849000.0,"ul. Jasnodworska, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",47m²,4,miejskie,1/4,555 zł,do zamieszkania,wtórny,spółdzielcze wł. prawo do lokalu,biuro nieruchomości,1968,nie,blok,,,balkon | garaż/miejsce parkingowe | piwnica
https://www.otodom.pl/pl/oferta/4-pokojowy-apartament-premium-na-zoliborzu-ID4xHGt,475172238,3150000.0,"Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",110m²,4,miejskie,6/9,1 700 zł,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2015,tak,apartamentowiec,drewniane,monitoring / ochrona,balkon | garaż/miejsce parkingowe
https://www.otodom.pl/pl/oferta/4-pokoje-na-zielonym-zoliborzu-ID4xfFI,453172238,2849000.0,"ul. Ludwika Rydygiera, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",100.72m²,4,miejskie,5/6,1 200 zł,do zamieszkania,wtórny,pełna własność,prywatny,,tak,apartamentowiec,,monitoring / ochronateren zamknięty,balkon | garaż/miejsce parkingowe | pom. użytkowe | oddzielna kuchnia
